name	length	run_2785_s_1_withindex_sequence.txt_AATTCAT	run_2785_s_1_withindex_sequence.txt_AGGCGAA	run_2785_s_1_withindex_sequence.txt_CTGCAAT	run_2785_s_1_withindex_sequence.txt_GGAGTCC	run_2785_s_1_withindex_sequence.txt_GTAAAAA	run_2785_s_1_withindex_sequence.txt_TGGCATA
AC004817.2	651	0	0	2	3	3	2
AC004817.3	2129	3	4	15	2	16	0
AC004817.4	3625	4	6	18	1	14	3
AC004824.1	311	0	0	0	0	0	0
AC004825.1	586	0	1	0	1	4	0
AC004825.2	455	2	0	0	6	1	1
AC004828.1	654	3	9	1	10	1	5
AC004830.1	911	6	8	7	3	10	5
AC004832.1	2422	0	0	8	4	9	0
AC004832.2	482	0	0	0	0	0	0
AC004832.3	1480	0	0	0	0	0	0
AC004832.4	331	2	0	1	1	1	3
AC004832.5	401	10	5	5	9	3	18
AC004832.6	704	1	0	2	0	0	0
AC004834.1	4408	9	8	16	3	23	7
AC004835.1	2907	3	4	12	0	32	0
AC004835.2	682	1	0	0	0	3	0
AC004836.1	634	0	2	0	0	4	0
AC004837.1	564	0	0	0	0	0	0
AC004837.2	731	3	2	4	4	1	6
AC004837.3	565	0	0	0	0	0	0
AC004839.1	501	5	9	2	5	3	6
AC004840.1	748	0	0	1	0	1	0
AC004840.2	285	0	0	0	0	0	0
AC004846.1	3050	1	2	10	1	12	1
AC004846.2	777	1	0	0	3	3	0
AC004847.1	1911	0	0	2	1	4	0
