Geneid	HS18	HS19
ENSG00000055483	1094	1591
ENSG00000055609	9023	13290
ENSG00000055732	482	799
ENSG00000055813	137	170
ENSG00000055917	3348	4558
ENSG00000055950	342	598
ENSG00000055955	15	29
ENSG00000055957	7	2
ENSG00000056050	195	279
ENSG00000056097	2769	3502
ENSG00000056277	113	200
ENSG00000056291	0	0
ENSG00000056487	74	63
ENSG00000056558	299	616
ENSG00000056586	2985	3480
ENSG00000056736	137	221
ENSG00000056972	601	919
ENSG00000056998	22	612
ENSG00000057019	2046	2951
ENSG00000057149	0	0
ENSG00000057252	504	1008
ENSG00000057294	11476	12816
ENSG00000057468	28	56
ENSG00000057593	18	14
ENSG00000057608	2289	3379
ENSG00000057657	243	328
ENSG00000057663	489	781
ENSG00000057704	469	741
ENSG00000057757	578	891
ENSG00000057935	608	1155
ENSG00000058056	3729	3681
ENSG00000058063	1638	2517
ENSG00000058085	58	114
ENSG00000058091	1564	1996
ENSG00000058262	2680	3178
ENSG00000058272	2449	3782
ENSG00000058335	5	3
ENSG00000058404	4778	4069
ENSG00000058453	1054	1018
ENSG00000058600	915	1251
ENSG00000058668	14264	14877
ENSG00000058673	17	30
ENSG00000058729	342	505
ENSG00000058799	239	317
ENSG00000058804	319	438
ENSG00000058866	1206	1312
ENSG00000059122	1266	1387
ENSG00000059145	387	649
ENSG00000059377	165	320
ENSG00000059378	397	568
ENSG00000059573	676	686
ENSG00000059588	872	1458
ENSG00000059691	1765	1557
ENSG00000059728	245	422
ENSG00000059758	650	1100
ENSG00000059769	124	160
ENSG00000059804	293	413
ENSG00000059915	96	116
ENSG00000060069	120	179
ENSG00000060138	7022	4945
ENSG00000060140	3	2
ENSG00000060237	16500	23216
ENSG00000060303	0	0
ENSG00000060339	1354	1668
ENSG00000060491	606	1045
ENSG00000060558	21	50
ENSG00000060566	0	0
ENSG00000060642	221	423
ENSG00000060656	383	1290
ENSG00000060688	383	710
ENSG00000060709	7	26
ENSG00000060718	2	5
ENSG00000060749	1836	2223
ENSG00000060762	3361	2869
ENSG00000060971	1045	1234
ENSG00000060982	179	522
ENSG00000061273	2003	2670
ENSG00000061337	156	135
ENSG00000061455	72	239
ENSG00000061492	1	0
ENSG00000061656	88	123
ENSG00000061676	5439	8363
ENSG00000061794	801	964
ENSG00000061918	381	749
ENSG00000061936	1178	1738
ENSG00000061938	3206	2752
ENSG00000061987	2235	3657
ENSG00000062038	5	13
ENSG00000062096	0	0
ENSG00000062194	1711	2873
ENSG00000062282	70	1216
ENSG00000062370	178	355
ENSG00000062485	7501	9091
ENSG00000062524	101	66
ENSG00000062582	3	16
ENSG00000062598	952	1134
ENSG00000062650	1448	2322
ENSG00000062716	1286	1613
ENSG00000062725	852	1467
ENSG00000062822	189	249
ENSG00000063015	62	116
ENSG00000063046	7752	11902
ENSG00000063127	114	335
ENSG00000063169	267	324
ENSG00000063176	222	350
ENSG00000063177	3020	4373
ENSG00000063180	54	142
ENSG00000063241	661	797
ENSG00000063244	1583	1874
ENSG00000063245	1925	2621
ENSG00000063322	659	1067
ENSG00000063438	5	9
ENSG00000063515	0	0
ENSG00000063587	517	871
ENSG00000063601	631	887
ENSG00000063660	3178	3111
ENSG00000063761	304	333
ENSG00000063854	1364	1397
ENSG00000063978	711	1017
ENSG00000064012	164	267
ENSG00000064042	8217	8787
