Geneid	HS20	HS21
ENSG00000050426	988	1179
ENSG00000050438	31	40
ENSG00000050555	206	137
ENSG00000050628	100	89
ENSG00000050730	0	6
ENSG00000050748	1273	1438
ENSG00000050767	41	132
ENSG00000050820	1768	2073
ENSG00000051009	693	769
ENSG00000051108	2620	2555
ENSG00000051128	121	95
ENSG00000051180	22	32
ENSG00000051341	167	108
ENSG00000051382	1170	1122
ENSG00000051523	575	659
ENSG00000051596	74	127
ENSG00000051620	1358	1501
ENSG00000051825	1054	1099
ENSG00000052126	4397	6323
ENSG00000052344	18	42
ENSG00000052723	657	782
ENSG00000052749	532	804
ENSG00000052795	3171	6801
ENSG00000052802	222	262
ENSG00000052841	2080	2628
ENSG00000052850	31	34
ENSG00000053108	1	2
ENSG00000053254	3946	5141
ENSG00000053328	244	318
ENSG00000053371	591	800
ENSG00000053372	302	368
ENSG00000053438	132	186
ENSG00000053501	230	277
ENSG00000053524	43	29
ENSG00000053702	199	295
ENSG00000053747	660	779
ENSG00000053770	1276	1550
ENSG00000053900	584	703
ENSG00000053918	474	750
ENSG00000054116	809	935
ENSG00000054118	3958	5120
ENSG00000054148	549	615
ENSG00000054179	43	61
ENSG00000054219	21	24
ENSG00000054267	1486	1816
ENSG00000054277	21	26
ENSG00000054282	73	12
ENSG00000054356	0	5
ENSG00000054392	178	244
ENSG00000054523	6483	7605
ENSG00000054598	370	440
ENSG00000054611	684	733
ENSG00000054654	11521	17792
ENSG00000054690	225	492
ENSG00000054793	2525	2413
ENSG00000054796	0	0
ENSG00000054803	0	0
ENSG00000054938	9	41
ENSG00000054965	2385	2999
ENSG00000054967	226	250
ENSG00000054983	686	1075
ENSG00000055044	524	647
ENSG00000055070	1329	1622
ENSG00000055118	3500	4124
ENSG00000055130	1760	2227
ENSG00000055147	799	829
ENSG00000055163	1159	1935
ENSG00000055208	2170	2515
ENSG00000055211	864	985
ENSG00000055332	1752	2329
ENSG00000055483	1001	1421
ENSG00000055609	8813	11379
ENSG00000055732	293	1102
ENSG00000055813	170	173
ENSG00000055917	3547	4350
ENSG00000055950	377	465
ENSG00000055955	11	27
ENSG00000055957	3	2
ENSG00000056050	223	289
ENSG00000056097	2719	3225
ENSG00000056277	140	171
ENSG00000056291	1	4
ENSG00000056487	38	76
ENSG00000056558	367	417
ENSG00000056586	3109	3194
ENSG00000056736	130	170
ENSG00000056972	505	786
ENSG00000056998	134	86
ENSG00000057019	2328	3122
ENSG00000057149	0	0
ENSG00000057252	700	762
ENSG00000057294	10570	10438
ENSG00000057468	51	57
ENSG00000057593	4	27
ENSG00000057608	2595	2622
ENSG00000057657	148	172
ENSG00000057663	566	618
ENSG00000057704	361	514
ENSG00000057757	567	772
ENSG00000057935	714	955
ENSG00000058056	3582	3517
ENSG00000058063	1743	1943
ENSG00000058085	58	135
ENSG00000058091	1194	2309
ENSG00000058262	2898	2973
ENSG00000058272	2830	3741
ENSG00000058335	7	9
ENSG00000058404	3989	4366
ENSG00000058453	836	1104
ENSG00000058600	948	1167
ENSG00000058668	10850	15380
ENSG00000058673	24	29
ENSG00000058729	428	555
ENSG00000058799	269	319
ENSG00000058804	363	367
ENSG00000058866	1820	927
ENSG00000059122	1331	1656
ENSG00000059145	419	539
ENSG00000059377	154	218
ENSG00000059378	393	372
ENSG00000059573	625	697
ENSG00000059588	817	1169
ENSG00000059691	1219	1712
ENSG00000059728	301	373
ENSG00000059758	777	1017
ENSG00000059769	164	137
ENSG00000059804	290	404
ENSG00000059915	65	111
ENSG00000060069	135	186
ENSG00000060138	5096	4284
ENSG00000060140	1	6
ENSG00000060237	16428	19751
ENSG00000060303	0	0
ENSG00000060339	1245	1571
ENSG00000060491	554	967
ENSG00000060558	26	27
ENSG00000060566	0	0
ENSG00000060642	203	327
ENSG00000060656	605	1015
ENSG00000060688	452	660
ENSG00000060709	6	7
ENSG00000060718	0	2
ENSG00000060749	1716	1860
ENSG00000060762	3814	2490
ENSG00000060971	1292	1176
ENSG00000060982	254	195
ENSG00000061273	2067	2244
ENSG00000061337	128	119
ENSG00000061455	126	133
ENSG00000061492	1	0
ENSG00000061656	106	82
ENSG00000061676	6520	8107
ENSG00000061794	874	912
ENSG00000061918	455	562
ENSG00000061936	1196	1645
ENSG00000061938	2390	3099
ENSG00000061987	2394	2822
ENSG00000062038	7	12
ENSG00000062096	0	0
ENSG00000062194	1746	2428
ENSG00000062282	372	336
ENSG00000062370	203	294
ENSG00000062485	8959	8590
ENSG00000062524	77	37
ENSG00000062582	4	18
ENSG00000062598	906	1041
ENSG00000062650	1607	2080
ENSG00000062716	1364	1407
ENSG00000062725	943	1342
